CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,Weight,Price,Brand_Acer,Brand_Apple,Brand_Asus,Brand_Dell,Brand_HP,Brand_LG,Brand_Lenovo,Brand_MSI,Brand_Microsoft,Brand_Other,OS_Other,OS_Windows 10,OS_Windows 11
20753.0,25351.0,15.6,1920,1080,16.0,512.0,2.38,1748.0,False,False,False,False,False,False,False,True,False,False,False,True,False
28523.0,23757.0,15.6,2560,1440,16.0,2048.0,2.3,2369.0,False,False,True,False,False,False,False,False,False,False,False,False,True
15287.0,1971.0,15.6,1920,1080,16.0,1024.0,1.7,899.0,False,False,False,False,False,False,False,True,False,False,False,True,False
2621.0,1476.0,15.6,1366,768,4.0,256.0,2.94,439.0,False,False,False,False,True,False,False,False,False,False,False,True,False
15451.0,2690.0,13.3,1920,1200,16.0,512.0,1.68,1943.73,False,False,False,False,True,False,False,False,False,False,False,False,True
10641.0,926.0,14.0,1920,1080,12.0,512.0,1.62,530.79,False,False,False,False,False,False,True,False,False,False,False,False,True
19333.0,2690.0,17.0,2560,1600,16.0,1024.0,1.5,1512.0,False,False,False,False,False,True,False,False,False,False,False,True,False
8473.0,12961.0,15.6,1920,1080,8.0,512.0,2.3,979.0,True,False,False,False,False,False,False,False,False,False,False,False,True
14043.0,2690.0,15.6,1920,1080,16.0,512.0,1.56,1923.99,False,False,False,False,False,False,False,False,True,False,False,True,False
18753.0,12961.0,15.6,1920,1080,8.0,512.0,3.32,749.0,False,False,False,False,True,False,False,False,False,False,False,True,False
8185.0,12961.0,15.6,1920,1080,8.0,512.0,2.52,1054.01,False,False,False,True,False,False,False,False,False,False,False,False,True
24971.0,10181.0,15.6,1920,1080,16.0,1024.0,2.68,1039.79,True,False,False,False,False,False,False,False,False,False,False,True,False
4982.0,926.0,15.6,1920,1080,4.0,128.0,1.75,459.78,False,False,False,False,True,False,False,False,False,False,False,True,False
26423.0,17089.0,16.0,1920,1200,16.0,512.0,1.5,1549.0,False,False,True,False,False,False,False,False,False,False,False,False,True
3642.0,4253.0,13.3,1920,1080,16.0,512.0,1.19,822.35,False,False,False,True,False,False,False,False,False,False,False,True,False
2003.0,1476.0,14.0,1920,1080,8.0,64.0,2.05,446.92,False,False,True,False,False,False,False,False,False,False,True,False,False
3810.0,1476.0,15.6,1366,768,8.0,256.0,1.08,582.0,False,False,False,False,False,False,True,False,False,False,False,True,False
24971.0,1476.0,14.0,1920,1080,32.0,512.0,1.23,993.29,False,False,False,True,False,False,False,False,False,False,False,False,True
