,Brand,CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price,CPU Brand,GPU Brand
1780,dell,2999.0,1476.0,14.0,1366,768,8.0,256.0,Windows 10,1.51,290.98,intel,intel
1781,hp,11027.0,1476.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.8,499.0,intel,intel
1782,dell,6287.0,1476.0,14.0,1920,1080,16.0,512.0,Windows 10,1.58,374.69,intel,intel
1783,apple,35380.0,10018.0,16.2,3456,2234,96.0,512.0,MacOS,2.2,4099.0,apple,intel
1784,dell,9891.0,926.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.77,576.19,intel,intel
1786,msi,44905.0,19560.0,13.3,1920,1200,32.0,2048.0,Windows 11,1.77,1969.0,intel,geforce
1787,dell,12802.0,1476.0,15.6,1366,768,32.0,1000.0,Windows 11,3.64,933.23,intel,intel
1788,microsoft,14043.0,2690.0,15.6,1920,1080,8.0,512.0,Windows 11,1.41,1545.99,intel,intel
1789,hp,2010.0,926.0,14.0,1366,768,4.0,1024.0,Windows 8,1.77,779.99,intel,intel
1790,hp,27476.0,22064.0,16.0,3840,2400,32.0,1024.0,Windows 10,1.77,2972.95,intel,nvidia
1791,dell,2192.0,1476.0,14.0,1366,768,8.0,1000.0,Windows 10,1.82,287.98,intel,intel
1792,lenovo,13446.0,12984.0,14.0,1920,1080,8.0,1024.0,Windows 10,1.77,739.99,amd,radeon
1793,dell,12421.0,2690.0,13.4,1920,1200,16.0,512.0,Windows 11,1.23,911.9,intel,intel
1794,lenovo,2003.0,1476.0,11.6,1366,768,4.0,32.0,Chrome OS,1.5,235.8,intel,intel
1795,hp,10641.0,1476.0,15.6,1920,1080,8.0,256.0,Windows 11,1.76,479.0,intel,intel
1796,microsoft,10984.0,1449.0,14.4,2400,1600,8.0,256.0,Windows 11,1.74,1399.99,intel,intel
1797,lenovo,10999.0,2.0,14.0,1920,1080,16.0,256.0,Windows 10,1.64,629.0,amd,radeon
1798,lenovo,16980.0,2690.0,14.0,2240,1400,8.0,1024.0,Windows 11,1.55,909.99,intel,intel
1799,microsoft,27476.0,7320.0,14.4,2400,1600,16.0,512.0,Windows 10,1.98,2479.95,intel,geforce
1800,lenovo,9891.0,2690.0,14.0,1920,1080,8.0,256.0,Windows 10,1.64,699.99,intel,intel
1801,dell,23728.0,17089.0,15.6,1920,1080,64.0,1000.0,Windows 11,3.64,1943.86,intel,geforce
1802,microsoft,14501.0,2690.0,12.4,1536,1024,8.0,256.0,Windows 10,1.43,949.0,intel,intel
1803,lg,10346.0,2690.0,15.6,1920,1080,16.0,1024.0,Windows 10,1.12,1029.99,intel,intel
1804,hp,3089.0,324.0,14.0,1920,1080,8.0,128.0,Windows 10,1.64,705.95,intel,intel
1805,lenovo,20851.0,6179.0,13.3,1920,1080,512.0,512.0,Windows 10,1.25,776.15,amd,radeon
1806,dell,3855.0,2040.0,15.6,1920,1080,8.0,256.0,Windows 10,1.77,499.99,amd,ryzen
1807,dell,16980.0,2690.0,14.0,1920,1080,16.0,512.0,Windows 11,1.22,1395.89,intel,intel
1808,lenovo,13144.0,1792.0,15.6,1920,1080,20.0,1024.0,Windows 11,1.29,559.99,amd,radeon
1809,dell,19012.0,12961.0,15.6,1920,1080,8.0,512.0,Windows 10,2.52,879.0,amd,geforce
1810,dell,18753.0,926.0,13.3,1920,1200,16.0,256.0,Windows 11,1.77,719.79,intel,intel
1811,dell,14812.0,1792.0,14.0,1920,1080,16.0,512.0,Windows 11,1.77,994.99,amd,radeon
1813,msi,23276.0,7320.0,15.6,1920,1080,16.0,512.0,Windows 11,1.86,1199.0,intel,geforce
1814,hp,27933.0,2690.0,16.0,1920,1200,32.0,512.0,Windows 11,1.76,2041.93,intel,intel
1815,lenovo,9511.0,1042.0,14.0,1920,1200,32.0,32.0,Windows 10,1.49,188.95,intel,intel
1816,dell,9891.0,2690.0,14.0,1920,1080,8.0,256.0,Windows 10,2.05,499.99,intel,intel
1817,apple,23805.0,6010.0,14.2,3024,1964,18.0,4096.0,MacOS,1.6,3399.0,apple,intel
1818,hp,2003.0,1476.0,11.6,1366,768,4.0,32.0,Windows 11,2.52,366.81,intel,intel
1819,hp,15451.0,1971.0,13.5,1920,1280,32.0,512.0,Windows 10,1.0,2112.9,intel,intel
1820,hp,3828.0,891.0,14.0,1366,768,8.0,256.0,Windows 11,1.53,519.0,amd,radeon
1821,hp,9891.0,2690.0,17.3,1920,1080,16.0,512.0,Windows 11,2.04,674.99,intel,intel
1822,hp,11027.0,1476.0,15.6,1920,1080,16.0,512.0,Windows 11,2.49,489.0,intel,intel
1823,dell,17441.0,2690.0,15.6,1920,1080,32.0,1024.0,Windows 11,1.73,799.0,intel,intel
1824,dell,29690.0,22064.0,16.0,1920,1200,64.0,1024.0,Windows 10,6.706299270072994,2999.0,intel,nvidia
1825,lg,12421.0,2690.0,15.0,1920,1080,16.0,512.0,Windows 11,1.14,849.0,intel,intel
1826,hp,15853.0,1476.0,15.6,1920,1080,16.0,512.0,Windows 10,1.75,665.0,amd,intel
1827,msi,14596.0,22459.0,17.3,1920,1080,32.0,32.0,Windows 10,2.91,3299.0,intel,geforce
