,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,Storage Type,OS,Weight,Price
3491,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3070 Ti,23757.0,15.6,1920.0,1080.0,16384.0,1024000.0,SSD,Windows 11,3.64,1837.6
3492,Dell,Intel Core i7 920   2.67GHz,2816.0,Intel Iris Pro Graphics 6200,1449.0,16.0,1920.0,1200.0,16384.0,1048576.0,SSD,Windows 11,2.10,1289.0
3493,Panasonic,Intel Core M 5Y51   1.10GHz,2130.0,Intel UHD Graphics 615,751.0,10.1,1920.0,1200.0,8192.0,262144.0,SSD,Windows 10,2.50,599.88
3494,Dell,Intel Core i3 530   2.93GHz,1486.0,Intel UHD Graphics,1476.0,17.3,1920.0,1080.0,16384.0,1024000.0,SSD,Windows 10,3.02,1775.23
3495,MSI,Intel Core i7 10700   2.90GHz,16550.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 11,2.25,1609.0
3496,HP,Intel Core i7 13700H,28003.0,Intel Iris Pro Graphics 6200,1449.0,16.0,3072.0,1920.0,16384.0,1048576.0,SSD,Windows 10,2.05,1509.99
3497,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 10,2.68,1599.0
3498,Asus,Intel Core i3 1005G1   1.20GHz,4982.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,4096.0,131072.0,SSD,Windows 10,1.82,329.0
3499,Asus,Intel Core i9 11900H   2.50GHz,20886.0,GeForce RTX 3050,12961.0,16.0,1920.0,1200.0,8192.0,1048576.0,SSD,Windows 10,1.82,1409.0
3500,HP,Intel Core i9 13900H,29690.0,GeForce RTX 4060,19560.0,16.0,2560.0,1600.0,32768.0,1048576.0,SSD,Windows 11,2.69,1899.0
3502,Acer,Intel Core i5 2450M   2.50GHz,2070.0,GeForce RTX 3050,12961.0,17.3,1920.0,1080.0,16384.0,524288.0,SSD,Windows 11,,1109.0
3503,Dell,Intel Core i9 10885H   2.40GHz,15251.0,RTX A2000 12GB,13645.0,17.0,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 11,3.64,2643.5
3504,Acer,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 11,2.72,1599.0
3506,Dell,Intel Core i7 11700K   3.60GHz,24671.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 10,3.64,1225.53
3507,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3060 Ti,20599.0,15.6,1920.0,1200.0,32768.0,1048576.0,SSD,Windows 10,1.92,2309.0
3508,Acer,AMD Ryzen 5 5625U,15084.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,8192.0,1048576.0,SSD,Windows 10,2.14,879.0
3511,MSI,Intel Core i5 12450H,17441.0,GeForce GTX 1650,7868.0,15.6,1920.0,1080.0,16384.0,524288.0,SSD,Windows 11,,919.99
3512,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3050,12961.0,15.6,1920.0,1200.0,32768.0,524288.0,SSD,Windows 11,3.64,1924.22
3513,Acer,Intel Core i5 2450M   2.50GHz,2070.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,16384.0,524288.0,SSD,Windows 10,,589.0
3515,Dell,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,8192.0,262144.0,SSD,Windows 11,,619.0
3516,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3060,17089.0,17.0,3840.0,2160.0,65536.0,1024000.0,SSD,Windows 11,3.64,2558.36
3517,HP,Intel Core i3 1115G4   3.00GHz,6132.0,Intel UHD Graphics,1476.0,15.6,1366.0,768.0,8192.0,262144.0,SSD,Windows 11,1.73,409.0
3518,Dell,Intel Core i7 1185G7   3.00GHz,10552.0,Intel Iris Pro Graphics 6200,1449.0,13.3,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 11,1.18,1259.0
3519,Dell,Intel Core i5 1145G7   2.60GHz,9970.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,65536.0,1048576.0,SSD,Windows 11,,1101.86
3520,Dell,AMD Ryzen 5 3350G,9041.0,GeForce RTX 3080 Ti,27324.0,17.3,1920.0,1080.0,65536.0,4096000.0,SSD,Windows 11,3.64,2598.74
3523,HP,Intel Core i7 870   2.93GHz,3122.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 11,1.77,899.99
3524,Dell,Intel Core i7 2700K   3.50GHz,5750.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,32768.0,2097152.0,SSD,Windows 11,2.52,1829.0
3526,Asus,Intel Core i7 6920HQ   2.90GHz,7303.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,16384.0,524288.0,SSD,Windows 10,1.82,1149.99
3527,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3060 Ti,20599.0,15.6,1920.0,1200.0,32768.0,1048576.0,SSD,Windows 11,1.92,2359.0
3529,Asus,Intel Celeron N3350   1.10GHz,1108.0,Intel UHD Graphics 600,324.0,11.6,1366.0,768.0,4096.0,32768.0,SSD,ChromeOS,1.23,209.0
3531,Dell,Intel Core i3 330E   2.13GHz,1260.0,Intel UHD Graphics,1476.0,15.6,,,4096.0,131072.0,SSD,Windows 10,,1113.38
3532,Acer,Intel Core i7 11370H   3.30GHz,11757.0,GeForce RTX 4060,19560.0,16.0,2560.0,1600.0,16384.0,1048576.0,SSD,Windows 11,2.59,1255.92
3533,Acer,Intel Core i7 5700HQ   2.70GHz,6026.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 10,2.50,1509.99
3534,Dell,AMD Ryzen 5 5500H,11035.0,Radeon HD 6320 Graphic,216.0,15.6,1920.0,1080.0,16384.0,262144.0,SSD,Windows 11,1.65,699.0
3535,Asus,Intel Core i5 11260H   2.60GHz,15822.0,GeForce RTX 3060 Ti,20599.0,17.3,1920.0,1080.0,8192.0,524288.0,SSD,Windows 10,,996.0
3538,Panasonic,Intel Core i5 3610ME   2.70GHz,2666.0,Intel UHD Graphics 600,324.0,10.1,,,8192.0,262144.0,SSD,Windows 10,0.81,389.95
3541,Dell,Intel Core i7 4558U   2.80GHz,3052.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,65536.0,1048576.0,SSD,Windows 11,0.02,1202.77
3542,Dell,Intel Core i9 13980HX,48083.0,GeForce RTX 3080 Ti,27324.0,17.3,1920.0,1080.0,65536.0,1024000.0,SSD,Windows 11,3.64,2597.72
3543,Lenovo,Intel Core i9 11900H   2.50GHz,20886.0,GeForce RTX 4070,26876.0,16.0,2560.0,1600.0,65536.0,2097152.0,SSD,Windows 11,2.55,2689.0
3544,HP,Intel Core i9 13900H,29690.0,GeForce RTX 4060,19560.0,16.0,2560.0,1600.0,16384.0,4194304.0,SSD,Windows 11,,2369.0
3546,HP,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Pro Graphics 6200,1449.0,17.3,1920.0,1080.0,12288.0,,,Windows 10,2.82,1199.99
3547,Acer,AMD Ryzen 5 5625U,15084.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,8192.0,262144.0,SSD,Windows 11,2.15,749.0
3549,Lenovo,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Pro Graphics 6200,1449.0,14.0,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 11,1.36,959.0
3550,Acer,Intel Core i5 10500H   2.50GHz,11287.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,16384.0,,,Windows 11,2.50,1169.0
3551,LG,Intel Core i7 1360P,19333.0,Intel Iris Pro Graphics 6200,1449.0,16.0,2560.0,1600.0,16384.0,1048576.0,SSD,No OS,1.36,1333.81
