,Brand,Series,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
85,acer,SFX16-52G-73U6,Intel Core i7 i7-1260P 4.7 GHz,Intel,16 GB,16,1920 x 1200 pixels,512 GB SSD,Windows 11 Home,3.86 Pounds,929.99
86,Lenovo,Lenovo Ideapad,Intel Core i5-1035G1 Core i5-1035G1 1 GHz,Intel UHD Graphics,12 GB,15.6 Inches,1366x768,256 GB SSD,Windows 10,7.1 Ounces,469.99
87,acer,PTX17-71-99W5,Intel Core i9 i9-13900HX 5.4 GHz,NVIDIA GeForce RTX 4090,64 GB,17 Inches,2560 x 1600 pixels,2 TB SSD,Windows 11 Home,6.6 Pounds,3499.99
88,ASUS,ASUS TUF Gaming Laptop,Intel Core i7 12700H 4.7 GHz,NVIDIA GeForce RTX 4070,16 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,4.9 Pounds,1178.49
89,ASUS,Zenbook Pro 14,Intel Core i9 I9-13900H 5.4 GHz,NVIDIA GeForce RTX 4070,32 GB,14.5 Inches,2560 x 1600 pixels,1 TB SSD,Windows 11 Home,3.5 Pounds,1999.0
90,HP,laptop,Intel Core i5 Intel Core i5-12450H 3.4,NVIDIA GeForce GTX 1650,8 GB,15 Inches,1366 x 768 pixels,512 GB SSD,Windows 10 Home,5.3 Pounds,590.22
91,Lenovo,ThinkPad P15 Gen 1 with Nvidia Quadro RTX 4000 Max-Q Design,Intel Core i7 Family i7-10850H 2.7 GHz,NVIDIA Quadro RTX 4000 with Max-Q Design 8GB GDDR6,64 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 10 Pro,6.05 Pounds,3621.77
92,Lenovo,Lenovo Legion Pro 5 82WK,Intel Intel Core i9 Intel Core i9-13900HX 3.1 GHz,NVIDIA GeForce RTX 4070,64 GB,16 Inches,2560 x 1600,4 TB SSD,Windows 11 Pro,5.6 Pounds,2899.0
93,HP,Pavilion x360 2-in-1,Intel Intel Core i5 i5-1235U 2 GHz,Intel Iris,8 GB,14 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11,3.3 Pounds,560.0
94,MSI,,Intel Core i7 5 GHz,NVIDIA GeForce RTX 4060,16 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,,1199.0
95,Lenovo,,,Integrated,8 GB,15.6 Inches,,,No OS,5 Pounds,669.99
96,GIGABYTE,AERO 16 XE4-73US918HP,Intel Core i7 12700H 2.3 GHz,NVIDIA GeForce RTX 3070 Ti,16 GB,16 Inches,3840 x 2160 pixels,2 TB SSD,Windows 11 Pro,5.1 Pounds,1399.99
97,SAMSUNG,Galaxy Book Odyssey,Intel Core i7 4.6 GHz,NVIDIA GeForce RTX 3050 Ti,16 GB,15.6 Inches,1920 x 1080 pixels,512 GB SSD,Windows 11 Home,4.1 Pounds,1334.46
98,MSI,Vector GP77 13VG-096US,Intel Core i9 i9-13900H 2.6 GHz,NVIDIA GeForce RTX 4070,32 GB,17.3 Inches,2560 x 1440 pixels,1 TB SSD,Windows 11 Pro,,1999.0
99,HP,Envy 16-H100,Intel Intel Core i9 Intel Core i9-13900H 3.2 GHz,NVIDIA GeForce RTX 4060,32 GB,16 Inches,2560 x 1600,1 TB SSD,Windows 11 Pro,5.91 Pounds,1899.0
100,HP,11A G8 Education,AMD AMD A4 A4-9120C 2.4 GHz,AMD Radeon R4,4 GB,11.6,1366 x 768 pixels,32 GB SSD,Chrome OS,3 Pounds,1999.99
101,acer,,Intel,NVIDIA GeForce RTX 4080,32 GB,16 Inches,2560 x 1440 pixels,1 TB,Windows 11 Home,12.2 Pounds,2199.99
102,acer,Helios Neo 16,Intel Core i7 i7-13700HX 3.7 GHz,NVIDIA GeForce RTX 4060,16 GB,16 Inches,2560 x 1600 pixels,1 TB SSD,Windows 11 Home,5.7 Pounds,1255.92
103,HP,TPN-C169,Intel Core i7 Family 13700HX 1.5 GHz,NVIDIA GeForce RTX 4060,32 GB,16.1 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,5.1 Pounds,1149.99
104,Lenovo,Lenovo Ideapad,AMD AMD A Series AMD A6-9229e 32 Hz,AMD Radeon R4,4 GB,14 Inches,1366x768,32 GB Emmc,Windows 10,11.3 Ounces,179.99
105,LG,Gram 16 Pro,Intel Core i7 Family Intel Core i7-1360P 2.9 GHz,NVIDIA GeForce RTX 3050,32 GB,16 Inches,2560 x 1600,8 TB SSD,Windows 11 Pro,2.9 Pounds,2699.0
