,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Price,New Weight
823,Panasonic,Intel Core i5 1230U,10779.0,Intel HD Graphics 620,926.0,14.0,1366.0,768.0,8192.0,262144.0,Windows 10,700.0,0.91
824,Dell,Intel Core i5 2390T   2.70GHz,2410.0,Intel UHD Graphics,1476.0,17.3,3840.0,2160.0,8192.0,524288.0,Windows 11,1724.4,3.02
825,Dell,AMD Ryzen 5 6600H,19012.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,32768.0,1048576.0,Windows 10,1139.0,2.4
826,Lenovo,Intel Celeron N4100   1.10GHz,2425.0,Intel Arc,4253.0,11.6,1366.0,768.0,4096.0,131072.0,Windows 10,289.0,1.77
828,Dell,Intel Core i5 1235U,13554.0,Intel Arc,4253.0,16.0,1920.0,1200.0,32768.0,1024000.0,Windows 11,899.99,1.86
829,Dell,Intel Core i5 12450H,17441.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,16384.0,2097152.0,Windows 11,763.55,1.59
831,Dell,Intel Core i9 12900H,28523.0,GeForce RTX 3070,22459.0,16.0,2560.0,1600.0,32768.0,1048576.0,Windows 11,1949.0,1.4
832,Acer,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Xe,2690.0,14.0,1920.0,1080.0,8192.0,1048576.0,Windows 11,655.0,1.2
833,Asus,Intel Core i7 13700H,28003.0,Intel Iris Xe,2690.0,14.5,2880.0,1800.0,16384.0,524288.0,Windows 11,889.49,1.55
834,Acer,AMD Ryzen 3 7320C,8686.0,Radeon 610M,1124.0,14.0,1920.0,1200.0,8192.0,131072.0,ChromeOS,399.99,1.45
835,Asus,AMD Ryzen 5 5625U,15084.0,Ryzen 3 4300G with Radeon Graphics,2040.0,16.0,1920.0,1200.0,40960.0,4194304.0,Windows 10,1119.0,1.77
836,Dell,Intel Core i9 11900H   2.50GHz,20886.0,Quadro 2000 D,1239.0,15.6,1920.0,1080.0,32768.0,2097152.0,Windows 10,2221.03,2.09
837,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3060,17089.0,17.3,1920.0,1080.0,16384.0,2048000.0,Windows 11,2265.8,3.64
838,MSI,Intel Core i7 11800H   2.30GHz,20753.0,GeForce RTX 3070,22459.0,15.6,1920.0,1080.0,65536.0,2097152.0,Windows 11,1959.99,2.73
839,Dell,Intel Core i7 1250U,12421.0,GeForce RTX 2050,7320.0,17.0,1920.0,1080.0,24576.0,1024000.0,Windows 11,4362.24,3.64
840,Lenovo,Intel Core i5 12600H,23062.0,Intel UHD Graphics 620,1042.0,14.0,1920.0,1080.0,16384.0,524288.0,Windows 10,839.99,1.55
841,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,16384.0,1024000.0,Windows 11,1098.0,3.64
842,HP,AMD Ryzen 3 5300U,9716.0,Radeon R2,240.0,15.6,1366.0,768.0,12288.0,524288.0,Windows 11,357.88,1.7
843,Dell,Intel Core i9 13980HX,48083.0,RTX A2000,13772.0,17.0,3840.0,2160.0,65536.0,8192000.0,Windows 10,4016.14,3.64
844,Dell,Intel Core i7 13700H,28003.0,GeForce RTX 3050,12961.0,16.0,2560.0,1600.0,16384.0,524288.0,Windows 11,1289.99,2.14
845,Dell,AMD Ryzen 5 6600H,19012.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,16384.0,524288.0,Windows 11,979.0,2.52
846,Dell,Intel Core i9 12900,34306.0,GeForce RTX 4060,19560.0,15.6,1366.0,768.0,32768.0,4096000.0,Windows 11,2450.88,3.64
847,ROKC,Intel Pentium Silver N6000   1.10GHz,3089.0,Intel Arc,4253.0,15.6,1920.0,1080.0,20480.0,1179648.0,Windows 11,389.99,1.59
848,Dell,Intel Core i7 13705H,23728.0,Intel UHD Graphics,1476.0,14.0,1920.0,1080.0,32768.0,524288.0,Windows 11,993.29,3.64
849,LG,Intel Core i7 10870H   2.20GHz,14596.0,Intel Iris Xe,2690.0,16.0,2560.0,1600.0,16384.0,524288.0,Windows 11,1046.71,1.18
850,Samsung,Intel Core i7 1360P,19333.0,Intel Arc,4253.0,16.0,1920.0,1080.0,32768.0,524288.0,Windows 11,1899.99,1.6
851,Dell,AMD Ryzen 5 6600H,19012.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,24576.0,2097152.0,Windows 10,1209.0,1.4
852,Acer,Intel Celeron N4000   1.10GHz,1417.0,Intel Arc,4253.0,11.6,1366.0,768.0,4096.0,65536.0,ChromeOS,311.09,1.19
853,MSI,Intel Core i3 1215U,11027.0,Intel Arc,4253.0,14.0,1920.0,1080.0,8192.0,524288.0,Windows 11,449.99,1.19
854,HP,Intel Core i9 12900H,28523.0,GeForce RTX 3060,17089.0,16.1,2560.0,1440.0,32768.0,1048576.0,Windows 11,1599.0,1.36
855,Dell,Intel Core i7 12800H,24971.0,Intel Arc,4253.0,15.6,1920.0,1080.0,16384.0,524288.0,Windows 10,1002.53,1.53
856,HP,Intel Core i9 12900HX,34905.0,GeForce RTX 3080 Ti,27324.0,17.3,2560.0,1440.0,65536.0,2097152.0,Windows 11,2619.0,2.75
857,Asus,Intel Core i3 1215U,11027.0,Intel Iris Xe,2690.0,15.6,1920.0,1080.0,8192.0,131072.0,Windows 11,338.54,1.7
858,Acer,Intel Core i5 1235U,13554.0,Intel Iris Xe,2690.0,15.6,1920.0,1080.0,20480.0,2097152.0,Windows 11,644.99,1.77
859,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3060,17089.0,16.0,2560.0,1600.0,32768.0,2097152.0,Windows 11,1669.0,2.7
860,MSI,Intel Core i5 10500H   2.50GHz,11287.0,GeForce GTX 1650,7868.0,15.6,1920.0,1080.0,65536.0,1048576.0,Windows 10,879.99,1.86
861,Acer,Intel Core i7 7Y75   1.30GHz,2625.0,Intel UHD Graphics 615,751.0,14.0,1920.0,1080.0,8192.0,262144.0,Windows 10,724.0,1.23
862,Acer,Intel Core i5 1335U,16980.0,Intel Iris Xe,2690.0,15.6,1920.0,1080.0,16384.0,1048576.0,Windows 11,769.0,1.78
863,Dell,Intel Core i7 13700H,28003.0,GeForce RTX 2050,7320.0,17.0,1920.0,1200.0,16384.0,524288.0,Windows 11,2020.92,3.64
864,Dell,Intel Core i7 12700H,26423.0,GeForce RTX 3050,12961.0,15.6,1920.0,1200.0,16384.0,524288.0,Windows 10,2199.0,1.92
865,Dell,AMD Ryzen 7 3750H,8185.0,GeForce RTX 3080 Ti,27324.0,17.3,1920.0,1080.0,8192.0,1024000.0,Windows 11,2598.74,3.64
