,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price
4168,HP,AMD Ryzen 7 7730U,18825.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,14.0,1920,1080,32.0,1024.0,Windows 11,1.59,899.99
4169,Dell,Intel Core i7 12800H,24971.0,Intel Arc,4253.0,14.0,1920,1080,32.0,512.0,Windows 10,3.64,1111.1
4170,Dell,Intel Core i7 13650HX,32140.0,GeForce RTX 4060,19560.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.65,1169.0
4171,HP,Intel Pentium Silver N5000   1.10GHz,2595.0,Intel UHD Graphics,1476.0,15.6,1366,768,16.0,1024.0,Windows 10,1.77,526.0
4172,Dell,Intel Core i7 12650H,23276.0,Intel UHD Graphics,1476.0,13.3,1920,1080,16.0,512.0,Windows 11,1.6,808.49
4173,HP,AMD Ryzen 3 3250U,3855.0,Intel UHD Graphics,1476.0,15.6,1366,768,32.0,1024.0,Windows 10,1.77,699.79
4174,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3050,12961.0,15.6,3840,2160,16.0,1000.0,Windows 11,3.64,2142.39
4175,HP,AMD Ryzen 5 5500U,13144.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,15.6,1920,1080,8.0,256.0,Windows 11,2.07,499.79
4176,Acer,AMD Ryzen 3 7320U,9072.0,Radeon Ryzen 5 4600GE with Radeon Graphics,1792.0,15.6,1920,1080,8.0,512.0,Windows 11,2.22,478.79
4177,GIGABYTE,Intel Core i5 12500H,21525.0,GeForce RTX 4060,19560.0,17.3,1920,1080,16.0,512.0,Windows 11,2.7,1049.0
4178,HP,Intel Core i5 1335U,16980.0,Intel UHD Graphics,1476.0,13.3,1920,1080,8.0,256.0,Windows 11,1.22,1113.11
4179,HP,AMD Ryzen 5 4500,16178.0,GeForce RTX 2050,7320.0,15.6,1920,1080,32.0,1024.0,Windows 11,2.32,661.84
